game_id,season,week,season_type,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,away_id,away_team,away_conference,away_division,away_points,excitement_index,notes,date,start_time,away_q1,away_q2,away_q3,away_q4,home_q1,home_q2,home_q3,home_q4
401426532,2022,1,regular,False,True,False,False,13688.0,3796.0,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,fbs,38.0,2046,Austin Peay,Atlantic Sun,fcs,27.0,2.6135509766,,2022-08-27,16:00:00.000,10.0,7.0,3.0,7.0,7.0,14.0,0.0,17.0
401404146,2022,1,regular,False,True,False,False,19553.0,3905.0,Romney Stadium,328,Utah State,Mountain West,fbs,31.0,41,Connecticut,FBS Independents,fbs,20.0,4.5637067523,,2022-08-27,20:00:00.000,14.0,0.0,0.0,6.0,0.0,24.0,0.0,7.0
401405058,2022,1,regular,False,True,False,False,37832.0,3832.0,Memorial Stadium,356,Illinois,Big Ten,fbs,38.0,2751,Wyoming,Mountain West,fbs,6.0,2.571416914,,2022-08-27,20:00:00.000,3.0,0.0,3.0,0.0,7.0,10.0,7.0,14.0
401411090,2022,1,regular,False,True,False,False,51207.0,3697.0,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,fbs,47.0,2184,Duquesne,NEC,fcs,7.0,1.058953588,,2022-08-27,21:00:00.000,0.0,0.0,7.0,0.0,20.0,6.0,14.0,7.0
401426530,2022,1,regular,False,True,False,True,19571.0,3715.0,FAU Stadium,2226,Florida Atlantic,Conference USA,fbs,43.0,2429,Charlotte,Conference USA,fbs,13.0,6.6262524505,,2022-08-27,23:00:00.000,7.0,0.0,6.0,0.0,10.0,16.0,7.0,10.0
401411091,2022,1,regular,False,True,False,False,46130.0,3787.0,Kenan Memorial Stadium,153,North Carolina,ACC,fbs,56.0,50,Florida A&M,SWAC,fcs,24.0,1.2411118443,,2022-08-28,00:15:00.000,7.0,7.0,10.0,0.0,14.0,14.0,7.0,21.0
401426531,2022,1,regular,False,True,False,True,45971.0,3946.0,Sun Bowl Stadium,2638,UTEP,Conference USA,fbs,13.0,249,North Texas,Conference USA,fbs,31.0,4.1152955946,,2022-08-28,01:00:00.000,0.0,14.0,14.0,3.0,0.0,13.0,0.0,0.0
401403853,2022,1,regular,False,True,False,False,9346.0,7220.0,Clarence T.C. Ching Athletics Complex,62,Hawai'i,Mountain West,fbs,10.0,238,Vanderbilt,SEC,fbs,63.0,2.4199370723,,2022-08-28,02:30:00.000,14.0,7.0,35.0,7.0,7.0,3.0,0.0,0.0
401416568,2022,1,regular,False,True,False,False,8752.0,3768.0,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,fbs,30.0,2598,St Francis (PA),NEC,fcs,23.0,12.0273396679,,2022-09-01,22:00:00.000,3.0,10.0,3.0,7.0,3.0,7.0,7.0,6.0
401441990,2022,1,regular,False,True,False,False,21291.0,3739.0,Glass Bowl,2649,Toledo,Mid-American,fbs,37.0,112358,Long Island University,NEC,fcs,0.0,1.1696927417,,2022-09-01,23:00:00.000,0.0,0.0,0.0,0.0,3.0,17.0,0.0,17.0
401403864,2022,1,regular,False,True,False,False,92236.0,3853.0,Neyland Stadium,2633,Tennessee,SEC,fbs,59.0,2050,Ball State,Mid-American,fbs,10.0,1.1199358518,,2022-09-01,23:00:00.000,0.0,0.0,7.0,3.0,17.0,21.0,14.0,7.0
401416569,2022,1,regular,False,True,False,False,53808.0,3646.0,Boone Pickens Stadium,197,Oklahoma State,Big 12,fbs,58.0,2117,Central Michigan,Mid-American,fbs,44.0,2.0476622516,,2022-09-01,23:00:00.000,7.0,8.0,7.0,22.0,16.0,28.0,7.0,7.0
401411092,2022,1,regular,False,True,False,False,70622.0,3752.0,Heinz Field,221,Pittsburgh,ACC,fbs,38.0,277,West Virginia,Big 12,fbs,31.0,9.9132290774,,2022-09-01,23:00:00.000,0.0,10.0,7.0,14.0,3.0,7.0,14.0,14.0
401411093,2022,1,regular,False,True,False,False,26013.0,3630.0,BB&T Field,154,Wake Forest,ACC,fbs,44.0,2678,VMI,Southern,fcs,10.0,1.2759959221,,2022-09-01,23:30:00.000,0.0,3.0,7.0,0.0,17.0,6.0,14.0,7.0
401416592,2022,1,regular,False,True,False,False,10864.0,3764.0,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,fbs,34.0,2197,Eastern Illinois,OVC,fcs,27.0,1.4468880733,,2022-09-02,00:00:00.000,3.0,3.0,7.0,14.0,7.0,14.0,7.0,6.0
401426534,2022,1,regular,False,True,False,False,32542.0,7221.0,Protective Stadium,5,UAB,Conference USA,fbs,59.0,2010,Alabama A&M,SWAC,fcs,0.0,1.0305953775,,2022-09-02,00:00:00.000,0.0,0.0,0.0,0.0,28.0,10.0,21.0,0.0
401426537,2022,1,regular,False,True,False,False,47653.0,3838.0,Faurot Field,142,Missouri,SEC,fbs,52.0,2348,Louisiana Tech,Conference USA,fbs,24.0,2.5195936354,,2022-09-02,00:00:00.000,3.0,7.0,0.0,14.0,0.0,24.0,14.0,14.0
401405060,2022,1,regular,False,True,False,False,44012.0,3953.0,TCF Bank Stadium,135,Minnesota,Big Ten,fbs,38.0,166,New Mexico State,FBS Independents,fbs,0.0,1.1471103779,,2022-09-02,01:00:00.000,0.0,0.0,0.0,0.0,7.0,17.0,14.0,0.0
401415213,2022,1,regular,False,True,False,False,16291.0,3935.0,Spartan Stadium,23,San José State,Mountain West,fbs,21.0,2502,Portland State,Big Sky,fcs,17.0,5.4525229031,,2022-09-02,02:30:00.000,7.0,0.0,3.0,7.0,7.0,7.0,0.0,7.0
401413224,2022,1,regular,False,True,False,False,36011.0,3660.0,Bulldog Stadium,278,Fresno State,Mountain West,fbs,35.0,13,Cal Poly,Big Sky,fcs,7.0,1.1488744416,,2022-09-02,02:30:00.000,0.0,7.0,0.0,0.0,21.0,0.0,7.0,7.0
401426535,2022,1,regular,False,True,False,False,13940.0,4418.0,Jerry Richardson Stadium,2429,Charlotte,Conference USA,fbs,24.0,2729,William & Mary,CAA,fcs,41.0,9.4100183239,,2022-09-02,23:00:00.000,10.0,7.0,3.0,21.0,3.0,14.0,7.0,0.0
401416591,2022,1,regular,False,True,False,False,73928.0,3936.0,Spartan Stadium,127,Michigan State,Big Ten,fbs,35.0,2711,Western Michigan,Mid-American,fbs,13.0,2.4084936095,,2022-09-02,23:00:00.000,3.0,0.0,10.0,0.0,7.0,14.0,0.0,14.0
401426330,2022,1,regular,False,True,False,False,21944.0,3918.0,Foreman Field,295,Old Dominion,Sun Belt,fbs,20.0,259,Virginia Tech,ACC,fbs,17.0,9.2340782584,,2022-09-02,23:00:00.000,7.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0
401416590,2022,1,regular,False,True,False,False,16531.0,3912.0,Rynearson Stadium,2199,Eastern Michigan,Mid-American,fbs,42.0,2198,Eastern Kentucky,Atlantic Sun,fcs,34.0,6.3483908778,,2022-09-02,23:00:00.000,0.0,10.0,7.0,17.0,0.0,14.0,14.0,14.0
401404052,2022,1,regular,False,True,False,False,34902.0,3833.0,Memorial Stadium,2305,Kansas,Big 12,fbs,56.0,2635,Tennessee Tech,OVC,fcs,10.0,1.1732355063,,2022-09-03,00:00:00.000,0.0,3.0,0.0,7.0,21.0,14.0,7.0,14.0
401405061,2022,1,regular,False,True,False,True,44357.0,3830.0,Memorial Stadium,84,Indiana,Big Ten,fbs,23.0,356,Illinois,Big Ten,fbs,20.0,10.0629165175,,2022-09-03,00:00:00.000,7.0,3.0,7.0,3.0,3.0,13.0,0.0,7.0
401403966,2022,1,regular,False,True,False,False,47868.0,3726.0,Folsom Field,38,Colorado,Pac-12,fbs,13.0,2628,TCU,Big 12,fbs,38.0,3.1865666133,,2022-09-03,02:00:00.000,0.0,7.0,10.0,21.0,3.0,3.0,0.0,7.0
